lote,veredicto,motivo,institucion,dominio_responde,dominio_real,nombre_real,nombre_coincide,url_programas,cantidad,niveles,tipo,alerta
14,inservible,dominio muerto,North Sydney English College NSEC,no,-,-,?,-,-,-,?,"DOMINIO MUERTO / PARQUEADO, confirmado contra DNS publico 8.8.8.8: northsydneycollege.com.au y su www resuelven a 103.224.182.244 (IP de parking de Trellian/Above.com) y la conexion se RESETEA tanto en :80 como en :443 con UA de Chrome. No es un 403 ni un challenge de Cloudflare: no hay servidor web sirviendo nada. Los dominios alternativos obvios tampoco existen (NXDOMAIN en northsydneyenglishcollege.com.au y en nsec.nsw.edu.au). Ficha inservible: hay que pedirle el dominio vigente a ""The education group"" (`partner_group`) o dar de baja."
14,corregir,"apunta al dominio del grupo, no al propio",Universal English College,redirige,uec.edu.au (www.uec.edu.au redirige al apex),Universal English College (CRICOS 00053J · ABN 19 003 525 764),si,https://uec.edu.au/study-english-with-us/,8,"Idiomas/ELICOS: General English, Cambridge prep, IELTS prep, Academic English (pathway), High School Preparation, Junior Holiday, Kids Holiday, After School",institucion,"Ficha VACIA: `category`=null y `puede_vender`=[] — hoy no autoriza vender nada, aunque es claramente un ""Instituto Idiomas"" con 8 cursos enumerables. El campo `sitio` viene sin esquema (""www.uec.edu.au""). No se ve grupo paraguas en el sitio; declara pathway partners (ej. Macquarie University), que es otra cosa. Escuela pequena: ~150 alumnos."
14,inservible,no es una institución (agencia),High Schools International Ireland,si,www.hsinet.org,High Schools International (HSI),parcial,https://www.hsinet.org/programs,7,"Classic Exchange, Public School Program, Private School Program, Group Short Stays, Guardianship, Welcome Camp, Sao Paulo Connection",agencia,"ALERTA GRAVE · NO ES UNA INSTITUCION EDUCATIVA. Es una agencia de colocacion y guardianship con sede en Dublin (Castleriver House, Parliament St) que ubica estudiantes internacionales en ~150 colegios irlandeses socios; tiene portal ""for-agents"" y ""partner-registration"", o sea es un intermediario B2B igual que el cliente. La ficha la marca `category`=""High School"" con ""Todos los programas"". El sitio publica PROGRAMAS, no un catalogo de colegios (hay un ""schools-finder"" dinamico detras de registro). Ademas el nombre real no lleva ""Ireland""."
14,ok,-,KPU,si,www.kpu.ca,"Kwantlen Polytechnic University (usa ""KPU"" como marca)",si,https://www.kpu.ca/find-your-program,140+,"Citation, Certificate, Diploma, Associate Degree, Bachelor, Post-Baccalaureate Diploma, Graduate Diploma, Graduate Certificate, Certificate of Completion",institucion,-
14,corregir,"apunta al dominio del grupo, no al propio",NABA,si,www.naba.it,NABA - Nuova Accademia di Belle Arti,parcial,https://www.naba.it/en/undergraduate · /en/postgraduate · /en/academic-masters,~40+,"Bachelor of Arts (AFAM I nivel), Master of Arts (AFAM II nivel), Academic Masters de 1 ano (~14), PhD en Artistic Practice, foundation/summer/semester abroad",institucion,"`puede_vender` INCONSISTENTE: la ficha habilita ""Vocacionales (Cert, Dip, Adv Dip)"" y NABA solo otorga titulos ACADEMICOS reconocidos por el MUR italiano (BA/MA/PhD) — no hay certificados vocacionales. Es parte del grupo paraguas GALILEO GLOBAL EDUCATION (no declarado en la ficha). La ficha dice ciudad Milan pero hay campus tambien en Roma y en Londres (abre 2026/27). `partner_group` esta escrito ""Nouva Accademia NABA"" — typo de ""Nuova""."
14,corregir,"apunta al dominio del grupo, no al propio",Universidad Europea de Madrid o Valencia,si,universidadeuropea.com,Universidad Europea,parcial,https://universidadeuropea.com/oferta-academica/,300+,"Grado, Master, Formacion Profesional (FP), Doctorado",institucion,"DOMINIO PARAGUAS + FICHA AMBIGUA: un solo registro (""Madrid o Valencia"") cubre lo que en el sitio son 4 sedes con personalidad juridica distinta (Universidad Europea de Madrid, de Valencia, de Canarias y de Andalucia). Sin desdoblar, cualquier programa extraido queda sin sede asignable — y las homologaciones/precios/becas difieren por sede. La ficha ni siquiera menciona Andalucia. El listado es un buscador dinamico con filtros (modalidad, ubicacion, idioma, area), no una lista estatica."
15,revisar_a_mano,el sitio bloquea acceso automatizado,Macquarie University,bloquea,mq.edu.au (CNAME a mqu-web.saas.squiz.cloud),?,?,https://www.mq.edu.au/study/find-a-course (destino del 301 de courses.mq.edu.au),?,?,institucion (no verificado en el sitio),"SITIO VIVO, NO MUERTO: Cloudflare managed challenge (cf-mitigated: challenge, ""Just a moment..."") devuelve 403 a todo fetcher incluso con UA de Chrome y headers de navegador · DNS resuelve OK · hasta robots.txt cae en el challenge · no auditable sin navegador real con JS"
15,observacion,"NO VENDIBLE COMO CATALOGO: es un colegio de ninas K-12, no tiene ""programas"" comercializables por una agencia de estudio",Tara Anglican School for Girls,si,tara.nsw.edu.au,Tara Anglican School for Girls,si,https://www.tara.nsw.edu.au/learning/,~3 divisiones + rutas IB/HSC,K-12 (ELC a Year 12) · IB PYP/MYP · IB DP desde 2027 · HSC,"institucion (colegio K-12, dia e internado)","NO VENDIBLE COMO CATALOGO: es un colegio de ninas K-12, no tiene ""programas"" comercializables por una agencia de estudios en el exterior · tipo_adivinado ""curso_corto"" es falso · category NULL, ciudad NULL (es Sydney/Parramatta) y puede_vender VACIO"
15,inservible,el dominio es de otra institución,OHLA - Open Hearts Language Academy,si,ohla.com,Open Hearts Language Academy (OHLA),si,https://www.ohla.com/ourprograms/,5,"Solo ESL: General, Academic, Exam Prep, TOEFL, Gap Year (9 niveles)",institucion,"CIUDAD DESACTUALIZADA: la ficha lista ""Miami, Boca Raton, Orlando, Tampa"" y el sitio solo muestra Miami, Orlando y Tampa — BOCA RATON YA NO APARECE · puede_vender ""Todos los programas"" contradice lo visto: solo idiomas · los ""12.000 programas de grado"" que promociona el sitio son de UniApplyNow (empresa hermana), NO de OHLA"
15,corregir,dominio obsoleto,Western Washington University,redirige,international.wwu.edu → students.studygroup.com/study-options/direct-admit/western-washington-university (301 cross-host),Western Washington University (pagina comercial de Study Group),si (pero en sitio ajeno),https://students.studygroup.com/study-options/direct-admit/western-washington-university,"~15 destacados de ""200+"" declarados",Undergraduate y Graduate (direct admit),"red (Study Group, no la universidad)","EL DOMINIO DE LA FICHA YA NO ES UN SITIO PROPIO: la pagina destino dice literal ""This page was previously on international.wwu.edu"" · NO hay catalogo enumerable, solo ~15 carreras destacadas y un prospecto PDF · para el catalogo real hay que usar wwu.edu"
15,revisar_a_mano,catálogo no enumerable,NAIT,si,nait.ca,Northern Alberta Institute of Technology (NAIT),si (la ficha usa solo la sigla),https://www.nait.ca/programs,"? (7 escuelas: Business, Construction, Energy, Health, Manufacturing, Media/IT, Transportation)","Certificados, diplomas, aprendizajes de oficios, applied degrees, educacion continua",institucion (politecnico),"ficha guarda solo la sigla, sin el nombre completo · tipo_adivinado ""curso_corto"" y category NULL para un politecnico que SI otorga degrees · puede_vender ""Todos los programas"" sin acotar"
15,revisar_a_mano,catálogo no enumerable,Thomas Jefferson University,si (home 200) pero catalogo ROTO,jefferson.intostudy.com,"Thomas Jefferson University · sitio de INTO University Partnerships (""(c) 2026 INTO UNIVERSITY PARTNERSHIPS LTD AND IUP 2 LLP"")",si,https://www.jefferson.intostudy.com/en/degrees,?,?,"red (centro INTO, no la universidad)","PAGINA DE PROGRAMAS CAIDA: /degrees y /en/degrees devuelven HTTP 500 (el home carga bien) — la extraccion posterior fallara en este dominio · el dominio es de INTO, no de la universidad · para el catalogo real hay que usar jefferson.edu"
15,corregir,nombre distinto al real,Leeds Beckett University,si,isc.leedsbeckett.ac.uk,"Leeds Beckett University International Study Centre (""Maintained by Study Group"")",parcial,https://isc.leedsbeckett.ac.uk/programmes,3 rutas,"International Foundation Year, International Year One, cursos de ingles",red (International Study Centre operado por Study Group),"LA FICHA PROMETE ""Pre master"" Y EL SITIO NO LO OFRECE (solo Foundation, Year One e ingles) · el dominio NO es la universidad; la ficha lo clasifica como ""Universidad"" · para pregrado/postgrado real es leedsbeckett.ac.uk"
15,revisar_a_mano,el sitio bloquea acceso automatizado,Royal Roads University,bloquea,royalroads.ca (www.royalroads.ca.edgekey.net · Akamai),?,?,?,?,?,institucion (no verificado en el sitio),"SITIO VIVO, NO MUERTO: 403 persistente con UA de Chrome + Accept/Sec-Fetch completos (respuesta Akamai de 371 bytes, sin cabeceras Cloudflare) · DNS resuelve OK a Akamai · /programs y /robots.txt tambien 403 · no auditable sin navegador real"
15,inservible,el dominio es de otra institución,International House - LSI PORTSMOUTH,si (pero no es su dominio),ihworld.com,International House World Organisation (red de 130+ escuelas afiliadas en 45+ paises),no,https://ihworld.com/schools/countries/united-kingdom/ih-portsmouth/,0 propios (la red lista 130+ escuelas),n/a en este dominio,red / grupo paraguas,"FANTASMA + DOMINIO EQUIVOCADO: la ficha apunta al paraguas IH World, no a la escuela · el dominio propio es lsi-portsmouth.co.uk (200 OK, verificado) · la ficha mezcla dos marcas: la pagina de IH confirma ""LSI Portsmouth / IH Portsmouth"" · MISMO DOMINIO que la ficha de IH London en este mismo lote"
15,inservible,el dominio es de otra institución,International House - London,si (pero no es su dominio),ihworld.com,International House World Organisation,no,https://ihworld.com/schools/countries/united-kingdom/ih-london/,0 propios,n/a en este dominio,red / grupo paraguas,"FANTASMA + DUPLICADO DE DOMINIO: mismo ihworld.com que la ficha de LSI Portsmouth · el dominio propio de la escuela es ihlondon.com (200 OK, verificado) · ademas IH London vende 17 idiomas extranjeros y CELTA/DELTA, no solo ingles: puede_vender ""Idiomas"" se queda corto"
15,revisar_a_mano,el sitio bloquea acceso automatizado,James Cook University JCU,bloquea,"jcu.edu.au (Cloudflare, 104.18.18.28)",?,?,?,?,?,institucion (no verificado en el sitio),"SITIO VIVO, NO MUERTO: Cloudflare managed challenge 403 con UA de Chrome y headers completos · DNS resuelve OK · /courses y /courses-and-study tambien 403, coursefinder.jcu.edu.au no resuelve · la ciudad ""Brisbane"" de la ficha queda SIN VERIFICAR por el bloqueo"
15,inservible,el dominio es de otra institución,Nova Southeastern University,si,nova.edu,Nova Southeastern University,si,https://www.nova.edu/degrees.html,130+,"Bachelor, Master, Doctorado y profesional (medicina, farmacia, derecho, psicologia, enfermeria)",institucion,"CATALOGO NO ENUMERABLE: selector con filtro dinamico por tipo de grado, no lista plana · la ficha marca partner_group ""Enrollment Advisory Group EAG"" que el sitio NO menciona · puede_vender trae ""Pregrado"" duplicando ""Pregrado & Postgrado"""
15,revisar_a_mano,catálogo no enumerable,University of Southern Queensland (UniSQ),si,unisq.edu.au (139.86.7.80),University of Southern Queensland (UniSQ),si,https://www.unisq.edu.au/study/degrees-and-courses,? (9 areas de estudio),"Pregrado, postgrado, investigacion/PhD, pathway, cursos cortos",institucion,"FICHA PRACTICAMENTE SIN CLASIFICAR: tipo_adivinado ""curso_corto"", category NULL, ciudad NULL y puede_vender VACIO para una universidad completa que otorga hasta PhD · catalogo hibrido (categorias + ""Career Finder""), no lista plana"
15,inservible,duplicado de otra ficha,BCUIC - Birmingham City University,redirige,www.bcuic.navitas.com → bcuic.bcu.ac.uk (cross-host),Birmingham City University International College (BCUIC),si,https://bcuic.bcu.ac.uk/study/,~35,"Pathway pregrado (~20 areas), pathway postgrado (~14 areas), ingles pre-sessional",red (college pathway operado por Navitas dentro del dominio de BCU),"EL DOMINIO NAVITAS DE LA FICHA YA NO ES EL VIGENTE: redirige al dominio de la universidad · category ""Universidad"" es incorrecto: es un college pathway y NO otorga titulos propios (progresion a un degree de BCU) · puede_vender trae ""Foundation & Pre master"" DUPLICADO"
15,observacion,"unica de las 3 fichas IH del lote que SI apunta a su dominio propio · category NULL y puede_vender ""Todos los programas""",International House Belfast,si,ihbelfast.com (151.101.66.159),International House Belfast,si,https://ihbelfast.com/courses/,~8-10,"Ingles general e intensivo, prep Cambridge B2/C1/C2 y OET, CELTA (formacion docente), junior 12-17",institucion (afiliada a la red IH World),"unica de las 3 fichas IH del lote que SI apunta a su dominio propio · category NULL y puede_vender ""Todos los programas"" cuando solo vende idiomas + formacion docente · la categoria ""Foreign Languages"" del propio sitio sale vacia (""No data was found"")"
15,revisar_a_mano,el sitio bloquea acceso automatizado,The University of Newcastle,bloquea,newcastle.edu.au (CNAME a uonew-web.saas.squiz.cloud),?,?,?,?,?,institucion (no verificado en el sitio),"SITIO VIVO, NO MUERTO: Cloudflare managed challenge 403 con UA de Chrome y headers completos · DNS resuelve OK (misma plataforma Squiz que Macquarie) · /study y /degrees tambien 403 · la ciudad ""Orimbah"" de la ficha parece un error de tipeo de Ourimbah, SIN VERIFICAR por el bloqueo"
16,inservible,el dominio es de otra institución,International House - Brisbane,si,ihworld.com,International House World Organisation,no,https://ihworld.com/learn/study-abroad/study-abroad-schools/,~50 escuelas afiliadas (no programas),"Ingles general, examenes (Cambridge/IELTS), Business English, young learners, CELTA/formacion docente",red / grupo paraguas,"FANTASMA: el dominio es el de la RED IH (130+ escuelas afiliadas en 45+ paises, ""privately owned and operated""), no el de la escuela de Brisbane · el directorio de escuelas NO lista NINGUNA en Australia ni en Brisbane · hay que re-localizar el dominio propio o dar la ficha de baja"
16,observacion,"category dice ""College Privado"" y SMC es un COMMUNITY COLLEGE PUBLICO de California · catalogo real vive en catalog.smc.",Santa Monica College,si,smc.edu,Santa Monica College,si,https://www.smc.edu/academics/areas-of-interest/all-programs.php,~200+,"Associate, transfer (UC/USC/LMU), algunos Bachelor, certificados, ESL, community education",institucion,"category dice ""College Privado"" y SMC es un COMMUNITY COLLEGE PUBLICO de California · catalogo real vive en catalog.smc.edu (sistema aparte)"
16,corregir,nombre distinto al real,Ravensbourne University,si,ravensbourne.ac.uk,Ravensbourne University London,parcial,https://www.ravensbourne.ac.uk/study,?,"Pre-degree, Undergraduate, Postgraduate, Professional Development",institucion,"nombre real incluye ""London"" · partner_group ""Oxford International"" NO se menciona en ningun lado del sitio · catalogo es BUSCADOR dinamico (course search), no lista enumerable"
16,corregir,dominio obsoleto,James Cook University Brisbane (JCUB),redirige + bloquea,jcub.edu.au 301 -> jcu.edu.au/brisbane,"? (Cloudflare managed challenge ""Just a moment..."")",?,?,?,?,?,"el dominio de la ficha YA NO ES SUYO: 301 permanente al campus Brisbane dentro de jcu.edu.au · el destino devuelve challenge de Cloudflare incluso con UA de Chrome (NO esta muerto, bloquea) · ficha sin ciudad, sin category y con puede_vender VACIO · requiere fetch con navegador real"
16,corregir,"apunta al dominio del grupo, no al propio",New Zealand Management Academies Limited,si,nzma.ac.nz,New Zealand Management Academies Ltd (NZMA),si,https://www.nzma.ac.nz/courses,? (12 areas de estudio),Vocacional: certificados y diplomas (no se confirma degree),"institucion (opera 3 marcas: NZMA, The Culinary Collective, NZIS · parte de UP Education)","ficha dice 3 ciudades (Auckland, Wellington, Christchurch) y el sitio lista ~9 campus + online (Hamilton, Manukau, Sylvia Park, Porirua, Trades South, Hastings) · el dominio alberga 3 marcas internas + footer del grupo UP Education · puede_vender contradictorio: ""Vocacionales"" y ""Vocational and Higher Education"" a la vez"
16,observacion,"PUEDE_VENDER INCOMPLETO: la ficha solo permite ""Postgrado, study abroad y summer"" pero Elisava SI otorga GRADOS (Diseno ",ELISAVA,si,elisava.net,Elisava Facultad de Diseno e Ingenieria de Barcelona,si,https://www.elisava.net/grados/ y https://www.elisava.net/masters/,~20+,"Grado (2), Master/Postgrado (mayoria), cursos cortos, summer, study abroad, Doctorado",institucion (adscrita a UVic-UCC),"PUEDE_VENDER INCOMPLETO: la ficha solo permite ""Postgrado, study abroad y summer"" pero Elisava SI otorga GRADOS (Diseno e Innovacion · Ingenieria de Diseno Industrial) y tiene doctorado · ademas tiene campus en Madrid, no solo Barcelona · titulos van adscritos a UVic-UCC"
16,inservible,el dominio es de otra institución,BPP University,si,bpp.com,BPP (BPP Holdings Limited) · parte de Lyceum Education Group,parcial,https://www.bpp.com/courses,300+ programas,"Pregrado, Postgrado, cualificaciones profesionales, apprenticeships, CPD",red / grupo paraguas,"el dominio es el del GRUPO, no el de la universidad: aloja Firebrand, StaySharp, Buttercups, Estio, Digital Marketing Institute, Acsenda, Arbutus College y BPP Institute ademas de BPP University · partner_group ""Oxford International"" no aparece · el catalogo mezcla cursos profesionales no-universitarios con los degrees"
16,corregir,nombre distinto al real,Signet Institute,si,signet.edu.au,Signet Institute Of Australia,parcial,https://signet.edu.au/courses/,~19-20,"Certificate III (9), Certificate IV (3), Diploma (5), Advanced Diploma (2), Graduate Diploma (1)",institucion (RTO),"CATALOGO NO ENUMERABLE: el sitio es una SPA React que devuelve HTML vacio (""You need to enable JavaScript"") · la unica via de extraccion es el sitemap.xml (63 URLs, ultima modificacion jul-2024 · sitio posiblemente sin mantenimiento) · puede_vender ""Todos los programas"" es FALSO: 0 bachelor, solo VET · las 5 areas son automotive, business, community, construction, healthcare"
16,inservible,dominio muerto,The University of Adelaide College,no (el host de la ficha) / redirige (el apex),www.college.adelaide.edu.au = NXDOMAIN en 8.8.8.8 · college.adelaide.edu.au 301 -> www.kaplancollegeadelaide.edu.au,Kaplan International College Adelaide,no,https://www.kaplancollegeadelaide.edu.au/programs,~18,"Foundation Studies (2), Degree Transfer standard+extended (10), Pre-Masters (3), English EAP/General (2), Express Preparation (1)",institucion (pathway operado por Kaplan hacia Adelaide University),"CAMBIO DE MARCA + HOST MUERTO: el subdominio exacto de la ficha (www.) NO RESUELVE en DNS publico · el apex redirige a un dominio distinto y la institucion ya se llama ""Kaplan International College Adelaide"" · la universidad destino ahora se presenta como ""Adelaide University"" (fusion con UniSA) · ficha sin ciudad, sin category, puede_vender VACIO"
16,inservible,el dominio es de otra institución,EP English Path / GBS Group,si,englishpath.com,"English Path (EP), part of the GEDU group",parcial,https://www.englishpath.com/courses/,~15-20,"General English (+ frances, aleman, arabe), examenes, Business English, young learners, Pathway, certificados profesionales, CELTA, Work & Study",institucion (cadena propia dentro del grupo GEDU),"CIUDADES MAL: la ficha dice Londres/Manchester/Birmingham/Leeds y el sitio NO lista Manchester · si lista 11 campus en 9 paises (Londres, Birmingham, Leeds, Dublin, Malta, Paris, Berlin, Toronto, Dubai, Riad, Brisbane) · el nombre de la ficha mezcla dos marcas (EP y GBS) y GBS no aparece en este dominio · ""Todos los programas"" es enganoso: los degrees viven en GEDU Global, otro dominio"
16,corregir,dominio obsoleto,Insenia,redirige,insenia.org 301 -> insenia.es,Insenia Design School Madrid,parcial,"https://www.insenia.es/ (listado por secciones, no hay indice unico)",~10-15,"Masteres profesionales (homologados por UDIMA), cursos profesionales 12 meses, cursos cortos",institucion (escuela vocacional de diseno de interiores),"tipo_adivinado ""pregrado"" y puede_vender ""Pregrado & Postgrado / Todos los programas"" NO CORRESPONDEN: no otorga pregrado, solo masteres profesionales y cursos de interiorismo/arquitectura de interiores · el dominio de la ficha (.org) redirige a .es · catalogo sin pagina indice, hay que recorrer URLs sueltas"
16,observacion,"ciudad de la ficha VACIA: esta en Brisbane QLD (Level 5, 119 Charlotte St) · category y puede_vender VACIOS para un RTO ",Mastery Institute Australia (MIA),si,mastery.edu.au (www 301 -> apex),QIHE Pty Ltd T/A Mastery Institute Australia · RTO 40813,si,"https://mastery.edu.au/ (menu ""Our Course"", sin indice unico)",~5-6,"Certificate III (Early Childhood), Diploma (Remedial Massage), certificaciones de primeros auxilios HLTAID011/012, CPE, VET Student Loans",institucion (RTO),"ciudad de la ficha VACIA: esta en Brisbane QLD (Level 5, 119 Charlotte St) · category y puede_vender VACIOS para un RTO vocacional · catalogo fragmentado: los short courses viven en una plataforma externa, no hay pagina unica que los liste"
16,observacion,"el dominio es el de la RED MUNDIAL, no el de la sede de Madrid · la ficha dice Spain/Madrid pero el dominio raiz mezcla ",Le Cordon Bleu,si,cordonbleu.edu,Le Cordon Bleu International B.V.,si (marca) / parcial (sede),https://www.cordonbleu.edu/programmes/es y campus Madrid en https://www.cordonbleu.edu/madrid/inicio/es,~30+ campus a nivel red · ~7-8 programas en Madrid,"Diplomas profesionales (Grand Diplome, Cocina, Pasteleria, Cocina Espanola, Plant-Based), Grado de Gastronomia (con Univ. Francisco de Vitoria), Bachelor/Master en hospitality, cursos cortos",red (institucion global con 30+ campus),"el dominio es el de la RED MUNDIAL, no el de la sede de Madrid · la ficha dice Spain/Madrid pero el dominio raiz mezcla programas de 30+ paises · para extraer hay que fijarse en /madrid/ o la extraccion traera catalogo global · el Grado de Gastronomia lo titula la Universidad Francisco de Vitoria, no LCB"
16,observacion,"ficha sin ciudad (es Melbourne/Bundoora), sin category y con puede_vender VACIO para un college con ~25 programas · part",La Trobe College Australia,si,latrobecollegeaustralia.edu.au,"La Trobe College Australia (Navitas Bundoora Pty Ltd, ABN 92 143 736 789)",si,https://www.latrobecollegeaustralia.edu.au/study-options/,~25,"Foundation Studies (2), Ingles (3), Undergraduate Certificates (6), Diplomas (9)",institucion (pathway college operado por Navitas),"ficha sin ciudad (es Melbourne/Bundoora), sin category y con puede_vender VACIO para un college con ~25 programas · partner_group deberia decir Navitas (mismo grupo que aparecio en el lote 09 con Waikato y Swansea)"
16,revisar_a_mano,el sitio bloquea acceso automatizado,Scuola Leonardo Da Vinci,bloquea,scuolaleonardo.com,Scuola Leonardo da Vinci - Italian language school,si,https://www.scuolaleonardo.com/Italian-language-general-courses.html (+ /academic-courses-in-italy.html),~15-20 tipos de curso,"Italiano general, larga duracion, examenes (CILS/CELI), senior, individual, arte y moda, preparacion universitaria e IMAT (medicina)",institucion (4-5 escuelas propias),"403 sin UA de navegador, 200 con UA de Chrome (NO esta muerto) · CIUDADES INCOMPLETAS: la ficha dice Milan/Roma/Florencia y el sitio tambien opera TURIN y VIAREGGIO · puede_vender solo ""Idiomas"" pero tambien vende preparacion a universidad italiana e IMAT y cursos de arte/moda · catalogo en URLs .html sueltas, sin indice unico"
16,inservible,el dominio es de otra institución,The Language Gallery - TLG,si,thelanguagegallery.com,The Language Gallery (TLG),parcial,https://www.thelanguagegallery.com/business-courses/,2,Certificate of Higher Education (L4) y Diploma of Higher Education in Business Management (L5),institucion (marca del grupo GUS),"DOS ERRORES GRAVES: (1) PAIS FALSO - la ficha dice Canada / Toronto y Vancouver y el sitio NO menciona Canada en ningun lado; opera solo en UK (Londres, Birmingham, Nottingham) · (2) YA NO VENDE IDIOMAS - la seccion /language-courses/ redirige al contenido de negocios y el sitio dice textualmente que solo se puede elegir entre los DOS cursos de business · la ficha la marca ""Idiomas"" x2 · GUS solo aparece en la ruta de un asset del footer, nunca por escrito"
17,observacion,"Ciudad de la ficha mal: los campus son New Westminster y Coquitlam (Metro Vancouver), no Vancouver ciudad",Douglas College,si,douglascollege.ca,Douglas College,si,https://www.douglascollege.ca/programs-and-courses,100+,"Cert, Post-Degree Cert, Dip, Post-Bacc Dip, Associate, Bachelor, Grad Dip",institucion,"Ciudad de la ficha mal: los campus son New Westminster y Coquitlam (Metro Vancouver), no Vancouver ciudad"
17,ok,-,Victoria University,si,vu.edu.au,"Victoria University (TEQSA PRV12152, CRICOS 00124K, RTO 3113)",si,https://www.vu.edu.au/study-at-vu/courses/browse-study-areas/all-courses-a-to-z,~400,"TAFE/vocacional, pregrado, postgrado, Master by Research, PhD",institucion,-
17,observacion,"El pathway con Oxford International SI existe (cpage.sfsu.edu/pathway) pero es SOLO ""International Year One"" (pregrado).",San Francisco State University,si,sfsu.edu,San Francisco State University (SF State),si,https://bulletin.sfsu.edu/programs,76 bachelor + 63 master + 57 cert + 16 credential,"Pregrado, postgrado, doctorado",institucion,"El pathway con Oxford International SI existe (cpage.sfsu.edu/pathway) pero es SOLO ""International Year One"" (pregrado). No hay Foundation ni Pre-master: `puede_vender` ""Foundation & Pre master"" es incorrecto"
17,inservible,no es una institución (red),Victorian Government Schools,bloquea,"study.vic.gov.au (DNS ok -> doet-web.matrix.squiz.cloud, 2.58.104.10/.11)",?,?,?,?,?,red,"Cloudflare ""Just a moment..."" devuelve 403 incluso con UA de Chrome; NO es dominio muerto (DNS resuelve contra 8.8.8.8). Es el International Student Program del Dept. of Education de Victoria: paraguas de ~350 colegios publicos, no una institucion. Ficha sin category ni puede_vender"
17,observacion,Convenio INTO vigente: /study/international enlaza a INTO UEA. Pero el catalogo de pathway (Foundation/Year 1/Pre-master,University of East Anglia,si,uea.ac.uk,University of East Anglia (UEA),si,https://www.uea.ac.uk/search/courses,~500,"Pregrado, postgrado, PhD, CPD y cursos cortos",institucion,Convenio INTO vigente: /study/international enlaza a INTO UEA. Pero el catalogo de pathway (Foundation/Year 1/Pre-master) NO vive en uea.ac.uk sino en el dominio de INTO; extraer pathway desde aqui no funciona
17,observacion,"`puede_vender` marca ""Idiomas"" pero solo hay English for Academic Purposes como apoyo/pathway, no ELICOS general -> inco",Kaplan Business School - KBS,si,kbs.edu.au,Kaplan Business School Pty Ltd (ABN 86 098 181 947),si,https://www.kbs.edu.au/courses,~30,"Diploma, Bachelor, Grad Cert, Grad Dip, Master (MBA)",institucion,"`puede_vender` marca ""Idiomas"" pero solo hay English for Academic Purposes como apoyo/pathway, no ELICOS general -> inconsistente. `tipo_adivinado` ""vacacional"" tambien incorrecto (es higher education)"
17,observacion,"Ciudad real Thunder Bay, Ontario (la ficha solo dice ""Ontario""); ademas campus regionales en Dryden, Geraldton, Red Lake",Confederation College of Applied Arts and Tech,si,confederationcollege.ca,Confederation College,si,https://www.confederationcollege.ca/programs-courses/search,60+ full time (11 areas),"Cert, Dip, Adv Dip, Grad Cert, apprenticeships",institucion,"Ciudad real Thunder Bay, Ontario (la ficha solo dice ""Ontario""); ademas campus regionales en Dryden, Geraldton, Red Lake, Sioux Lookout, Kenora, Marathon, Fort Frances"
17,corregir,"apunta al dominio del grupo, no al propio",Ikon Institute of Australia,si,ikon.edu.au,"Ikon Institute of Australia (ABN 95 112 989 581, TEQSA PRV14055, CRICOS 03581E)",si,https://ikon.edu.au/courses/,~20,"Diploma, Bachelor, Grad Cert, Grad Dip, Master",institucion,"`partner_group` dice ""ALG - Australian Learning Group"" pero el sitio declara propiedad de EDU Holdings Limited (ALG aparece solo como marca hermana en la libguide). Verificar el partner_group"
17,inservible,no es una institución (red),ILSC,si,ilsc.com,ILSC Education Group Inc.,parcial,https://www.ilsc.com/es/language-schools/programs,?,"Idiomas (EN/FR/HI), prep de examenes, CELTA, pathway, junior, diplomas via Greystone",red,"Dominio de GRUPO paraguas: 5 paises (Canada, Australia, Irlanda, India, USA/ELS) + Greystone College. La ficha dice ""Canada"" pero el sitio no separa por pais; catalogo no enumerable directo, hay que filtrar por escuela/ciudad. Riesgo de duplicado con fichas de Greystone si existen en otros lotes"
17,observacion,"La ficha dice Hobart; el sitio opera Melbourne (Abbotsford, Broadmeadows) ADEMAS de Tasmania (Hobart, Huonville). Logos ",Australian Sovereign College,si,ausc.edu.au,Australian Sovereign College,si,https://ausc.edu.au/courses,9,Certificate III hasta Advanced Diploma y Graduate Diploma,institucion,"La ficha dice Hobart; el sitio opera Melbourne (Abbotsford, Broadmeadows) ADEMAS de Tasmania (Hobart, Huonville). Logos de partners (UTAS, Max Therapy Institute, Ruby Institute) sin relacion de propiedad declarada"
17,observacion,Campo `sitio` sin protocolo (www.tredcollege.edu.au) - normalizar. Ficha sin ciudad ni category: campus reales Sydney (N,TrEd College,si,tredcollege.edu.au,TrEd College,si,https://www.tredcollege.edu.au/courses/,~10,"General English + Diplomas (Nursing, Early Childhood)",institucion,"Campo `sitio` sin protocolo (www.tredcollege.edu.au) - normalizar. Ficha sin ciudad ni category: campus reales Sydney (NSW), Canberra (ACT), Adelaide (SA). Ofrece ingles ademas de vocacional, `puede_vender` esta vacio"
